Position_x,Position_y,value
0.95,0.6,1.82476
0.975,0.6,1.53661
1,0.6,-0.5
0,0.575,1.5
0.025,0.575,1.52767
0.05,0.575,1.53043
0.075,0.575,1.52881
0.1,0.575,1.5282
0.125,0.575,1.52818
0.15,0.575,1.52821
0.175,0.575,1.52822
0.2,0.575,1.52822
0.225,0.575,1.52822
0.25,0.575,1.52822
0.275,0.575,1.52822
0.3,0.575,1.52822
0.325,0.575,1.52822
0.35,0.575,1.52822
0.375,0.575,1.52822
0.4,0.575,1.52822
0.425,0.575,1.52822
0.45,0.575,1.52822
0.475,0.575,1.52822
0.5,0.575,1.52822
0.525,0.575,1.52822
0.55,0.575,1.52822
0.575,0.575,1.52822
0.6,0.575,1.52822
0.625,0.575,1.52822
0.65,0.575,1.52822
0.675,0.575,1.52822
0.7,0.575,1.52822
0.725,0.575,1.52822
0.75,0.575,1.52821
0.775,0.575,1.52822
0.8,0.575,1.52835
0.825,0.575,1.52855
0.85,0.575,1.52663
0.875,0.575,1.5192
0.9,0.575,1.52764
0.925,0.575,1.63291
0.95,0.575,1.82476
0.975,0.575,1.53661
1,0.575,-0.5
0,0.55,1.5
0.025,0.55,1.52767
0.05,0.55,1.53043
0.075,0.55,1.52881
0.1,0.55,1.5282
0.125,0.55,1.52818
0.15,0.55,1.52821
0.175,0.55,1.52822
0.2,0.55,1.52822
0.225,0.55,1.52822
0.25,0.55,1.52822
0.275,0.55,1.52822
0.3,0.55,1.52822
0.325,0.55,1.52822
0.35,0.55,1.52822
0.375,0.55,1.52822
0.4,0.55,1.52822
0.425,0.55,1.52822
0.45,0.55,1.52822
0.475,0.55,1.52822
0.5,0.55,1.52822
0.525,0.55,1.52822
0.55,0.55,1.52822
0.575,0.55,1.52822
0.6,0.55,1.52822
0.625,0.55,1.52822
0.65,0.55,1.52822
0.675,0.55,1.52822
0.7,0.55,1.52822
0.725,0.55,1.52822
0.75,0.55,1.52821
0.775,0.55,1.52822
0.8,0.55,1.52835
0.825,0.55,1.52855
0.85,0.55,1.52663
0.875,0.55,1.5192
0.9,0.55,1.52764
0.925,0.55,1.63291
0.95,0.55,1.82476
0.975,0.55,1.53661
1,0.55,-0.5
0,0.525,1.5
0.025,0.525,1.52767
0.05,0.525,1.53043
0.075,0.525,1.52881
0.1,0.525,1.5282
0.125,0.525,1.52818
0.15,0.525,1.52821
0.175,0.525,1.52822
0.2,0.525,1.52822
0.225,0.525,1.52822
0.25,0.525,1.52822
0.275,0.525,1.52822
0.3,0.525,1.52822
0.325,0.525,1.52822
0.35,0.525,1.52822
0.375,0.525,1.52822
0.4,0.525,1.52822
0.425,0.525,1.52822
0.45,0.525,1.52822
0.475,0.525,1.52822
0.5,0.525,1.52822
0.525,0.525,1.52822
0.55,0.525,1.52822
0.575,0.525,1.52822
0.6,0.525,1.52822
0.625,0.525,1.52822
0.65,0.525,1.52822
0.675,0.525,1.52822
0.7,0.525,1.52822
0.725,0.525,1.52822
0.75,0.525,1.52821
0.775,0.525,1.52822
0.8,0.525,1.52835
0.825,0.525,1.52855
0.85,0.525,1.52663
0.875,0.525,1.5192
0.9,0.525,1.52764
0.925,0.525,1.63291
0.95,0.525,1.82476
0.975,0.525,1.53661
1,0.525,-0.5
0,0.5,1.5
0.025,0.5,1.52767
0.05,0.5,1.53043
0.075,0.5,1.52881
0.1,0.5,1.5282
0.125,0.5,1.52818
0.15,0.5,1.52821
0.175,0.5,1.52822
0.2,0.5,1.52822
0.225,0.5,1.52822
0.25,0.5,1.52822
0.275,0.5,1.52822
0.3,0.5,1.52822
0.325,0.5,1.52822
0.35,0.5,1.52822
0.375,0.5,1.52822
0.4,0.5,1.52822
0.425,0.5,1.52822
0.45,0.5,1.52822
0.475,0.5,1.52822
0.5,0.5,1.52822
0.525,0.5,1.52822
0.55,0.5,1.52822
0.575,0.5,1.52822
0.6,0.5,1.52822
0.625,0.5,1.52822
0.65,0.5,1.52822
0.675,0.5,1.52822
0.7,0.5,1.52822
0.725,0.5,1.52822
0.75,0.5,1.52821
0.775,0.5,1.52822
0.8,0.5,1.52835
0.825,0.5,1.52855
0.85,0.5,1.52663
0.875,0.5,1.5192
0.9,0.5,1.52764
0.925,0.5,1.63291
0.95,0.5,1.82476
0.975,0.5,1.53661
1,0.5,-0.5
0,0.475,1.5
0.025,0.475,1.52767
0.05,0.475,1.53043
0.075,0.475,1.52881
0.1,0.475,1.5282
0.125,0.475,1.52818
0.15,0.475,1.52821
0.175,0.475,1.52822
0.2,0.475,1.52822
0.225,0.475,1.52822
0.25,0.475,1.52822
0.275,0.475,1.52822
0.3,0.475,1.52822
0.325,0.475,1.52822
0.35,0.475,1.52822
0.375,0.475,1.52822
0.4,0.475,1.52822
0.425,0.475,1.52822
0.45,0.475,1.52822
0.475,0.475,1.52822
0.5,0.475,1.52822
0.525,0.475,1.52822
0.55,0.475,1.52822
0.575,0.475,1.52822
0.6,0.475,1.52822
